Commit,Date,Test,Checks,Bandwidth (mean),Bandwidth (median),Bandwidth (min),Bandwidth (max),Bandwidth (stddev),Latency (mean),Latency (median),Latency (min),Latency (max),Latency (stddev),GFLOP/s (mean),GFLOP/s (median),GFLOP/s (min),GFLOP/s (max),GFLOP/s (stddev)
85aed8af78886675337277d839fc5ea6a9dc4e33,2025-11-19 20:26:05,gelu_4_cols_2_channels_2048_tile_256,5/5,0.05000146,0.050882,0.039767,0.0576901,0.005952597667438983,166.4,161.0,142.0,206.0,21.694238866574693,,,,,
85aed8af78886675337277d839fc5ea6a9dc4e33,2025-11-19 20:26:05,gelu_8_cols_1_channels_2048_tile_256,5/5,0.03844306,0.0415838,0.0311483,0.0445217,0.00593544092131326,218.6,197.0,184.0,263.0,35.69089519751501,,,,,
85aed8af78886675337277d839fc5ea6a9dc4e33,2025-11-19 20:26:05,gelu_8_cols_2_channels_2048_tile_128,5/5,0.03629574,0.0386415,0.0223215,0.045011,0.007584517556338043,239.2,212.0,182.0,367.0,65.58475432598647,,,,,
85aed8af78886675337277d839fc5ea6a9dc4e33,2025-11-19 20:26:05,gemm_2048x2048x2048_64x64x64_8_cols_0_bcolmaj_0_ccolmaj_0,5/5,3.5994900000000003,3.64163,3.35348,3.70847,0.12666620085879274,6519.8,6436.0,6320.0,6989.0,240.46488309106593,,,,,
85aed8af78886675337277d839fc5ea6a9dc4e33,2025-11-19 20:26:05,layer_norm_1_cols_1_channels_2048_tile_2048,5/5,0.08415184,0.0808421,0.0710289,0.0990968,0.009825399965517942,148.0,152.0,124.0,173.0,17.029386365926403,,,,,
85aed8af78886675337277d839fc5ea6a9dc4e33,2025-11-19 20:26:05,layer_norm_1_cols_2_channels_2048_tile_1024,5/5,0.08869798,0.0999024,0.0507769,0.115925,0.023895577968017428,151.8,123.0,106.0,242.0,50.2847889525252,,,,,
85aed8af78886675337277d839fc5ea6a9dc4e33,2025-11-19 20:26:05,layer_norm_2_cols_1_channels_2048_tile_1024,5/5,0.08553792,0.0813775,0.0808421,0.092391,0.005322092417987497,144.2,151.0,133.0,152.0,8.749857141690942,,,,,
85aed8af78886675337277d839fc5ea6a9dc4e33,2025-11-19 20:26:05,layer_norm_2_cols_2_channels_2048_tile_512,5/5,0.08049126,0.0787692,0.0520678,0.110703,0.02286341955977714,166.2,156.0,111.0,236.0,48.43717580536669,,,,,
85aed8af78886675337277d839fc5ea6a9dc4e33,2025-11-19 20:26:05,layer_norm_4_cols_1_channels_2048_tile_512,5/5,0.08151918,0.0835918,0.06144,0.0975238,0.014938808473288623,156.2,147.0,126.0,200.0,29.975990392312312,,,,,
85aed8af78886675337277d839fc5ea6a9dc4e33,2025-11-19 20:26:05,layer_norm_4_cols_2_channels_2048_tile_256,5/5,0.07344745999999999,0.0710289,0.049152,0.106852,0.01982450269062001,179.4,173.0,115.0,250.0,46.22812996434097,,,,,
85aed8af78886675337277d839fc5ea6a9dc4e33,2025-11-19 20:26:05,layer_norm_8_cols_1_channels_2048_tile_256,5/5,0.08312962,0.0859301,0.0678895,0.0917015,0.008067126602056026,149.4,143.0,134.0,181.0,16.353592877407703,,,,,
85aed8af78886675337277d839fc5ea6a9dc4e33,2025-11-19 20:26:05,layer_norm_8_cols_2_channels_2048_tile_128,5/5,0.06701863999999999,0.06144,0.0499512,0.0824698,0.012291803261295713,189.8,200.0,149.0,246.0,35.53252031590216,,,,,
